selected clients id,sparse_categorical_accuracy,sparse_categorical_crossentropy,loss,num_examples,num_batches
"['0', '1']",0.4605311453342438,8.693406105041504,8.693406105041504,29935,1498
"['1', '2']",0.46258920431137085,8.662047386169434,8.662046432495117,49050,2454
"['2', '0']",0.4614469110965729,8.680458068847656,8.680458068847656,58815,2942
"['1', '2']",0.46258920431137085,8.6620512008667,8.6620512008667,49050,2454
"['0', '1']",0.4609988331794739,8.68767261505127,8.68767261505127,29935,1498
"['2', '1']",0.46258920431137085,8.662046432495117,8.662046432495117,49050,2454
"['0', '2']",0.4614469110965729,8.680451393127441,8.680451393127441,58815,2942
"['1', '0']",0.4609988331794739,8.687667846679688,8.687667846679688,29935,1498
"['2', '1']",0.46258920431137085,8.662052154541016,8.662052154541016,49050,2454
"['0', '1']",0.4609988331794739,8.68766975402832,8.68766975402832,29935,1498
"['1', '2']",0.46258920431137085,8.6620512008667,8.6620512008667,49050,2454
"['0', '1']",0.4609988331794739,8.687675476074219,8.687675476074219,29935,1498
"['0', '1']",0.4609988331794739,8.687671661376953,8.687671661376953,29935,1498
"['2', '1']",0.46258920431137085,8.66203784942627,8.66203784942627,49050,2454
"['0', '1']",0.4609988331794739,8.687674522399902,8.687674522399902,29935,1498
"['2', '1']",0.46258920431137085,8.6620454788208,8.6620454788208,49050,2454
